ID,Type,Source,Name,Size,Color
EV01,Anhydrite,USGS,GDS42,<250um,1
EV02,Anhydrite,JPL,SO-1A,fine,1
EV03,Anhydrite,JPL,SO-1A,medium,1
EV04,Anhydrite,JPL,SO-1A,coarse,1
EV05,Anhydrite,WPG,SPT128a,<45um,1
EV06,Anhydrite,WPG,SPT128b,<45um,1
EV07,Anhydrite,WPG,SPT204,NA,1
EV08,Anhydrite,MIX,GDS42_SPT204,NA,1
EV09,Anhydrite,MIX,SO-1A_Ave,NA,1
EV10,Anhydrite,MIX,Ave_7,NA,1
EV11,Aragonite,Relab,cacb02,<45um,2
EV12,Aragonite,Relab,cbcb02,45-90um,2
EV13,Aragonite,Relab,cacb16,<45um,2
EV14,Aragonite,Relab,cacb18,<45um,2
EV15,Aragonite,Relab,cacb19,<45um,2
EV16,Aragonite,Relab,cacb20,<45um,2
EV17,Aragonite,Relab,cacb44,<45um,2
EV18,Aragonite,Relab,cacb45,<45um,2
EV19,Aragonite,USGS,GDS1073,hand,2
EV20,Aragonite,WPG,CRB123,NA,2
EV21,Calcite,Relab,cacb09,<45um,3
EV22,Calcite,Relab,cbcb09,45-90um,3
EV23,Calcite,Relab,c1cy05,<500um,3
EV24,Calcite,USGS,WS272,hand,3
EV25,Calcite,JPL,C-3A,fine,3
EV26,Calcite,JPL,C-3A,medium,3
EV27,Calcite,JPL,C-3A,coarse,3
EV28,Calcite,WPG,CRB118,NA,3
EV29,Calcite,MIX,C-3D_Ave,NA,3
EV30,Calcite,MIX,C-3E_Ave,NA,3
EV31,Dolomite,Relab,cacb03,<45um,4
EV32,Dolomite,Relab,cbcb03,45-90um,4
EV33,Dolomite,Relab,cbcc05,25-75um,4
EV34,Dolomite,Relab,c1cy07,<500um,4
EV35,Dolomite,USGS,COD2005,hand,4
EV36,Dolomite,USGS,HS102.1B,hand,4
EV37,Dolomite,USGS,HS102.3B,hand,4
EV38,Dolomite,WPG,CRB117,NA,4
EV39,Dolomite,MIX,C-5C_Ave,NA,4
EV40,Dolomite,MIX,C-5A_Ave,NA,4
EV41,Epsomite,USGS,GDS149,hand,5
EV42,Epsomite,WPG,SPT162b,NA,5
EV43,Epsomite,WPG,SPT162c,NA,5
EV44,Epsomite,WPG,SPT162d,NA,5
EV45,Epsomite,WPG,SPT162e,NA,5
EV46,Epsomite,CRW,Epso,250um,5
EV47,Epsomite,MIX,CDS149_Epso,NA,5
EV48,Epsomite,MIX,SPT162d_e,NA,5
EV49,Epsomite,MIX,GDS149_SPT162e,NA,5
EV50,Epsomite,MIX,Ave_6,NA,5
EV51,Gypsum,Relab,cbcc16,25-75um,6
EV52,Gypsum,Relab,c1cc33,<25um,6
EV53,Gypsum,Relab,c1cc36,<25um,6
EV54,Gypsum,JPL,SO-2B,fine,6
EV55,Gypsum,JPL,SO-2B,medium,6
EV56,Gypsum,JPL,SO-2B,coarse,6
EV57,Gypsum,WPG,SPT127,NA,6
EV58,Gypsum,WPG,SPT178,NA,6
EV59,Gypsum,WPG,SPT207a,NA,6
EV60,Gypsum,CRW,Gyp,250um,6
EV61,Halite,Relab,c1hm08,<5000um,7
EV62,Halite,Relab,c1hm09,<5000um,7
EV63,Halite,Relab,c1hm10,<5000um,7
EV64,Halite,USGS,HS433.1B,<5um,7
EV65,Halite,USGS,HS433.2B,<74um,7
EV66,Halite,USGS,HS433.3B,74-250um,7
EV67,Halite,USGS,HS433.4B,250-1200um,7
EV68,Halite,JPL,H-3A,fine,7
EV69,Halite,JPL,H-3A,medium,7
EV70,Halite,JPL,H-3A,coarse,7
EV71,Magnesite,Relab,cacb06,<45um,8
EV72,Magnesite,Relab,cbcb06,45-90um,8
EV73,Magnesite,Relab,cacb70,<45um,8
EV74,Magnesite,JPL,C-6A,fine,8
EV75,Magnesite,JPL,C-6A,medium,8
EV76,Magnesite,JPL,C-6A,coarse,8
EV77,Magnesite,MIX,cbcb06_cacb70,NA,8
EV78,Magnesite,MIX,cacb06_cbcb06,NA,8
EV79,Magnesite,MIX,cacb70_C-6Ffine,NA,8
EV80,Magnesite,MIX,Ave_6,NA,8
EV81,Thenardite,USGS,HS450.1B,<5um,9
EV82,Thenardite,USGS,HS450.2B,<74um,9
EV83,Thenardite,USGS,HS450.3B,74-250um,9
EV84,Thenardite,USGS,HS450.4B,250-1200um,9
EV85,Thenardite,USGS,GDS146,hand,9
EV86,Thenardite,MIX,HS450.1_2,NA,9
EV87,Thenardite,MIX,HS450.2_3,NA,9
EV88,Thenardite,MIX,HS450.3_4,NA,9
EV89,Thenardite,MIX,HS4504_GDS146,NA,9
EV90,Thenardite,MIX,Ave_5,NA,9
EV91,Trona,Relab,cbcb34,45-90um,10
EV92,Trona,USGS,GDS148,hand,10
EV93,Trona,JPL,C-4A,fine,10
EV94,Trona,JPL,C-4A,medium,10
EV95,Trona,JPL,C-4A,coarse,10
EV96,Trona,MIX,cbcb34_GDS148,NA,10
EV97,Trona,MIX,GDS148_C-4Af,NA,10
EV98,Trona,MIX,C-4Af_m,NA,10
EV99,Trona,MIX,C-4Amc,NA,10
EV100,Trona,MIX,Ave_5,NA,10
